screen_name,location,lat,long
FrancoCappellet,Chiaverano,45.49886,7.902619
Ladynomics,Italia e USA,30.616625,-81.7170472
Brown666W,  ,NA,NA
SonaliVaid,"New Delhi, India",28.6138954,77.2090057
publizistikon,Germany NoToExtremism,NA,NA
jjdeleeuw,bruxelles,50.8465573,4.351697
ravid95476978,Cambodia,13.5066394,104.869423
MichaelParkerLA,Los Angeles,34.0536909,-118.2427666
cgledhill,"London, England",51.5073219,-0.1276474
outsider63,"Fife, Scotland",56.3333331,-3.0000001
rsantorini630,USA,39.7837304,-100.4458825
XopheRousseau,Nice,43.7009358,7.2683912
Excelsior,Ciudad Imagen,-34.6148461,-58.40338373324804
Arkydiva,Tornado Alley,41.219791,-78.443069
Kyle_A_Morse,"Washington, DC",38.8949855,-77.0365708
XKeyscore1,The Fallen Republic,50.2318565,87.621755
NewsweekEspanol,"México, D  F ",16.7323714,-93.1177512
DiariodeMorelos,"México, Morelos, Cuernavaca",18.9218274,-99.2342282
FarmwrkrJustice,"Washington, DC",38.8949855,-77.0365708
WBG_Cities,"Washington, D C    Global",47.4511253,-122.2293591
ChidaNatasha,"Baltimore, MD",39.2908816,-76.610759
LsrHidalgo,"Pachuca de Soto, Hidalgo",20.1165413,-98.7413535
alissafitri1,KL Lon Sgp,NA,NA
telefenoticias,Argentina,-34.9964963,-64.9672817
period_elroble,En las bases,-34.6426738,-58.5216734
Serchs3D,Entre España/Uruguay,-32.4856681,-58.2336362
aremarvifri,Ecuador,-1.3397668,-79.3666965
LaTribunaCh,"Chubut, Argentina",-43.7128356,-68.7461817
Isset_Tab,Villahermosa,18.0018152,-92.93304014837511
ERshares,"Boston, MA",42.3602534,-71.0582912
Radio_Sur,"Buenos Aires, Argentina",-34.6075682,-58.4370894
dotLA,Los Angeles,34.0536909,-118.2427666
Akcv,"Brasília, Asunción ",-8.03621055,-34.92978558535145
hcecho,God s Own County,NA,NA
OIM_Argentina,Av  Callao   Piso  º A CABA,NA,NA
TheRightAOC,In a baseball park in my mind,NA,NA
christinaliew,"New York, NY",40.7127281,-74.0060152
HelenBranswell,"Boston, MA",42.3602534,-71.0582912
martelf,Paris and around the world,NA,NA
DarioStefano,Lecce - Roma,40.3570373,18.1718482
mytheoz,London   Accra,50.97490645,-114.07423537999478
NellieMaeEdFdn,New England,46.5391751,-102.8682231
LalobaRose,Paris,48.8566969,2.3514616
dumbassgenius,Los Angeles,34.0536909,-118.2427666
MsVadasKidsRock,"Nashville, TN",36.1622296,-86.7743531
RhondaMeckstro1,"Piqua, OH",40.1447732,-84.2424449
WelshCycling,Wales,52.2928116,-3.73893
FedericoVega,"Santiago, Chile",-33.4377968,-70.6504451
AB18PK,GRW / SKT  ,NA,NA
Eleconomistanet,"ÜT   ,- ",NA,NA
Tg1Raiofficial,italia,42.6384261,12.674297
Therealbp65,Wherever you least expect  ,NA,NA
DareMagic_YT,En todas partes y en ninguna,NA,NA
BrainCoach333,Chicago,41.8755616,-87.6244212
C1961Interista,"Calabria, Italia Francia",NA,NA
DelBoffill,Cuba,23.0131338,-80.8328748
brady_mickelsen,"Washington, D C ",38.8949855,-77.0365708
TelemundoNews,United States,39.7837304,-100.4458825
gallinews,India,22.3511148,78.6677428
aodaalliance,Ontario Canada,50.000678,-86.000977
airnewsalerts,"New Delhi, India",28.6138954,77.2090057
H2OEcologist,Virginia,37.1232245,-78.4927721
maxipullaro,"Rosario, Santa Fe",-32.9595004,-60.6615415
GOCOAST,"Cincinnati, OH, USA",39.1014537,-84.5124602
MathTaskForce,"Fields Institute, Canada",43.65879595,-79.39755040601011
GottaGoCampaign,"Ottawa, ON",45.421106,-75.690308
Pajaropolitico,México,19.4326296,-99.1331785
Danny_Eycott,London,51.5073219,-0.1276474
orlandumike,"Vevey, Suisse",46.4602978,6.8418655
MaireadCavanag2,"Toronto, Ontario",43.6534817,-79.3839347
JohnOCAP,Toronto,43.6534817,-79.3839347
ConwaySPHERE,University College Dublin,53.3079633,-6.2342858
SEIMC_,España,39.3262345,-4.8380649
asmietanka,Polska,52.215933,19.134422
cbcwhitecoat,Canada,61.0666922,-107.9917071
MathieuMolimard,"Bordeaux, France",44.841225,-0.5800364
OVIALCDMX,"Liverpool  , Col  Juárez",NA,NA
HealthwireMedia,"New Delhi, India",28.6138954,77.2090057
indyscotnews,Europe,51,10
velo_di_maia,Italia,42.6384261,12.674297
TheOnlyGuru,"Jarsah, Chanel Heels ",NA,NA
blancamesa,"South Florida and California, USA",32.73336075,-117.19224641277626
rickgladstone,"New York, NY",40.7127281,-74.0060152
ispionline,Milan,45.4668,9.1905
NFIDvaccines,"Bethesda, MD",38.9819845,-77.12423413116392
